Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
14.305, 1.450682767672647, 0.04, -0.3739296110215429, -80.02093675861017, 274, 153, 0.0001014108890368855, 21, 36
14.411, 1.46192268805549, 0.01, -0.4039296110215429, -86.44093675861019, 304, 122, 0.000101444916248386, 21, 58
14.51, 1.471696531866658, 0.02, -0.3939296110215429, -84.30093675861018, 293, 128, 0.000101426363326441, 21, 18
14.609, 1.482203413963665, 0.03, -0.3839296110215429, -82.16093675861018, 292, 126, 0.0001014582390282473, 21, 3
14.707, 1.491977257774833, 0.02, -0.3939296110215429, -84.30093675861018, 291, 132, 0.0001014467435761768, 21, 8
14.812, 1.502728485967118, 0.01, -0.4039296110215429, -86.44093675861019, 288, 123, 0.0001014534489580825, 21, 11
14.911, 1.512991021968844, 0.0, -0.413929611021543, -88.58093675861019, 304, 122, 0.0001014681122640228, 21, 12
15.011, 1.523253557970571, 0.0, -0.413929611021543, -88.58093675861019, 305, 120, 0.0001014758215955347, 21, 5
15.106, 1.53278305568646, 0.0, -0.413929611021543, -88.58093675861019, 300, 118, 0.0001014684930283636, 21, 7
15.2, 1.542312553402349, 0.0, -0.413929611021543, -88.58093675861019, 307, 122, 0.0001014679311448914, 21, 11
15.296, 1.552330743308797, 0.0, -0.413929611021543, -88.58093675861019, 288, 119, 0.0001014860580092048, 21, 23
15.394, 1.562348933215244, 0.0, -0.413929611021543, -88.58093675861019, 299, 119, 0.0001014907712885049, 21, 12
15.495, 1.572611469216971, 0.0, -0.413929611021543, -88.58093675861019, 299, 123, 0.0001014915436732475, 21, 5
15.596, 1.582874005218697, 0.0, -0.413929611021543, -88.58093675861019, 294, 121, 0.0001014923060540329, 21, 3
15.697, 1.593380887315703, 0.0, -0.413929611021543, -88.58093675861019, 303, 122, 0.0001015086250440022, 21, 11
15.797, 1.60364342331743, 0.0, -0.413929611021543, -88.58093675861019, 302, 124, 0.0001015156943291403, 21, 2
15.891, 1.613172921033319, 0.0, -0.413929611021543, -88.58093675861019, 302, 112, 0.0001015148776687004, 21, 13
15.991, 1.623435457035046, 0.0, -0.413929611021543, -88.58093675861019, 296, 119, 0.0001015218220896158, 21, 9
16.087, 1.633453646941493, 0.0, -0.413929611021543, -88.58093675861019, 293, 124, 0.0001015387360565359, 21, 5
16.18, 1.642738798562103, 0.0, -0.413929611021543, -88.58093675861019, 287, 118, 0.0001015289739531584, 21, 14
16.277, 1.65300133456383, 0.0, -0.413929611021543, -88.58093675861019, 295, 124, 0.0001015544224712066, 21, 14
16.377, 1.663019524470277, 0.0, -0.413929611021543, -88.58093675861019, 296, 122, 0.0001015460416724844, 21, 2
16.476, 1.673282060472004, 0.01, -0.4039296110215429, -86.44093675861019, 299, 128, 0.0001015587557946106, 21, 10
16.576, 1.683300250378451, 0.02, -0.3939296110215429, -84.30093675861018, 295, 116, 0.000101550449467812, 21, 12
16.675, 1.693807132475457, 0.07000000000000001, -0.3439296110215429, -73.60093675861018, 295, 133, 0.0001015776391289629, 21, 16
16.772, 1.703336630191346, 0.38, -0.03392961102154288, -7.260936758610177, 281, 141, 0.0001015583490455131, 21, 28
16.877, 1.713843512288352, 0.19, -0.2239296110215429, -47.92093675861018, 190, 194, 0.0001015490615801595, 21, 142
16.978, 1.724350394385358, 0.38, -0.03392961102154288, -7.260936758610177, 298, 174, 0.0001015638116612886, 21, 131
17.085, 1.735590314768201, 0.02, -0.3939296110215429, -84.30093675861018, 188, 220, 0.0001015856198283992, 21, 161
17.184, 1.74511981248409, 0.01, -0.4039296110215429, -86.44093675861019, 327, 112, 0.0001015549239108525, 21, 244
17.286, 1.756115386771654, 0.0, -0.413929611021543, -88.58093675861019, 288, 122, 0.0001015917729244275, 21, 44
17.384, 1.766133576678102, 0.0, -0.413929611021543, -88.58093675861019, 304, 123, 0.0001015953507062875, 21, 19
17.484, 1.776396112679828, 0.0, -0.413929611021543, -88.58093675861019, 296, 121, 0.0001016012418599765, 21, 9
17.585, 1.786414302586276, 0.0, -0.413929611021543, -88.58093675861019, 301, 124, 0.0001015873928112753, 21, 6
17.681, 1.796676838588003, 0.0, -0.413929611021543, -88.58093675861019, 302, 127, 0.0001016162456076015, 21, 4
17.777, 1.806450682399171, 0.0, -0.413929611021543, -88.58093675861019, 291, 118, 0.0001016172966416814, 21, 19
17.875, 1.816224526210339, 0.0, -0.413929611021543, -88.58093675861019, 296, 126, 0.0001016069665012777, 21, 13
17.976, 1.826731408307345, 0.0, -0.413929611021543, -88.58093675861019, 292, 126, 0.0001016205723357446, 21, 5
18.075, 1.836749598213792, 0.0, -0.413929611021543, -88.58093675861019, 303, 127, 0.000101618235032575, 21, 16
18.173, 1.84676778812024, 0.0, -0.413929611021543, -88.58093675861019, 302, 122, 0.0001016215147812821, 21, 5
18.276, 1.857519016312525, 0.0, -0.413929611021543, -88.58093675861019, 285, 125, 0.0001016370658958484, 21, 18
18.374, 1.867292860123693, 0.0, -0.413929611021543, -88.58093675861019, 294, 120, 0.0001016269108590233, 21, 14
18.473, 1.87731105003014, 0.0, -0.413929611021543, -88.58093675861019, 296, 113, 0.0001016245899437092, 21, 8
18.571, 1.887817932127147, 0.01, -0.4039296110215429, -86.44093675861019, 296, 123, 0.0001016540806702464, 21, 10
18.671, 1.897836122033594, 0.02, -0.3939296110215429, -84.30093675861018, 281, 126, 0.0001016461958134858, 21, 12
18.77, 1.907854311940041, 0.08, -0.3339296110215429, -71.46093675861017, 295, 124, 0.0001016438099062356, 21, 13
18.87, 1.918116847941768, 0.05, -0.3639296110215429, -77.88093675861018, 277, 135, 0.0001016490115496433, 21, 37
18.971, 1.928135037848215, 0.25, -0.1639296110215429, -35.08093675861018, 254, 139, 0.0001016359199751313, 21, 25
19.069, 1.937664535564105, 0.36, -0.05392961102154288, -11.54093675861018, 200, 190, 0.0001016133271573813, 21, 95
