Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
7.649, 0.5881410513370491, 0.44, 0.01913853515465988, 4.019092382478575, 151, 157, 7.689123432305519e-05, 24, 52
7.685, 0.5913175505756789, 0.38, -0.04086146484534012, -8.580907617521426, 151, 157, 7.694437873463615e-05, 25, 10
7.725, 0.5942497037190293, 0.29, -0.1308614648453401, -27.48090761752143, 168, 158, 7.692552798951834e-05, 25, 20
7.765, 0.597426202957659, 0.22, -0.2008614648453401, -42.18090761752143, 175, 136, 7.693833908018789e-05, 25, 22
7.806, 0.6006027021962886, 0.18, -0.2408614648453401, -50.58090761752143, 194, 126, 7.694116092701623e-05, 25, 37
7.846, 0.6037792014349184, 0.17, -0.2508614648453401, -52.68090761752143, 213, 115, 7.695376006052999e-05, 25, 31
7.885, 0.6067113545782688, 0.24, -0.1808614648453401, -37.98090761752142, 207, 106, 7.694500375120721e-05, 25, 16
7.919, 0.6093991616263401, 0.3, -0.1208614648453401, -25.38090761752143, 208, 108, 7.69540550102715e-05, 25, 4
7.958, 0.6123313147696906, 0.41, -0.01086146484534012, -2.280907617521426, 202, 129, 7.694537757849844e-05, 25, 25
7.999, 0.6159965061988787, 0.43, 0.009138535154659877, 1.919092382478574, 180, 154, 7.700918942353777e-05, 26, 42
8.035, 0.61868431324695, 0.49, 0.06913853515465989, 14.51909238247858, 146, 161, 7.699866997472929e-05, 26, 44
8.073, 0.6213721202950212, 0.48, 0.05913853515465988, 12.41909238247858, 146, 162, 7.696917134832418e-05, 26, 3
8.111000000000001, 0.6245486195336508, 0.42, -0.000861464845340123, -0.1809076175214258, 149, 169, 7.700019967126752e-05, 27, 10
8.151999999999999, 0.6274807726770014, 0.34, -0.08086146484534012, -16.98090761752143, 153, 163, 7.697261686420527e-05, 27, 8
8.192, 0.6309016180109102, 0.23, -0.1908614648453401, -40.08090761752142, 181, 158, 7.701435766734744e-05, 27, 25
8.237, 0.6343224633448191, 0.19, -0.2308614648453401, -48.48090761752143, 196, 128, 7.700891870156843e-05, 27, 50
8.276999999999999, 0.6374989625834488, 0.23, -0.1908614648453401, -40.08090761752142, 199, 113, 7.702053432203079e-05, 27, 22
8.316000000000001, 0.6404311157267992, 0.33, -0.09086146484534012, -19.08090761752143, 200, 109, 7.701191867806627e-05, 27, 6
8.353, 0.6433632688701499, 0.43, 0.009138535154659877, 1.919092382478574, 195, 125, 7.702182076740689e-05, 28, 14
8.396000000000001, 0.6467841142040585, 0.52, 0.09913853515465988, 20.81909238247858, 173, 156, 7.703479206813465e-05, 28, 51
8.433, 0.6494719212521299, 0.52, 0.09913853515465988, 20.81909238247858, 143, 171, 7.701552487277717e-05, 28, 53
8.475, 0.6526484204907596, 0.45, 0.02913853515465987, 6.119092382478574, 138, 185, 7.700866318475038e-05, 28, 19
8.515000000000001, 0.6560692658246685, 0.29, -0.1308614648453401, -27.48090761752143, 148, 167, 7.7048651300607e-05, 29, 19
8.566000000000001, 0.6599788033491357, 0.19, -0.2308614648453401, -48.48090761752143, 170, 144, 7.70463230620051e-05, 29, 54
8.605, 0.6629109564924862, 0.17, -0.2508614648453401, -52.68090761752143, 196, 128, 7.703787989453646e-05, 29, 39
8.647, 0.666087455731116, 0.21, -0.2108614648453401, -44.28090761752143, 223, 104, 7.703104611207539e-05, 29, 50
8.688000000000001, 0.6695083010650248, 0.35, -0.07086146484534011, -14.88090761752143, 198, 116, 7.7061268538792e-05, 29, 32
8.725, 0.6724404542083753, 0.48, 0.05913853515465988, 12.41909238247858, 189, 131, 7.70705391642837e-05, 30, 23
8.763, 0.6753726073517258, 0.54, 0.1191385351546599, 25.01909238247858, 168, 163, 7.707093545038522e-05, 30, 51
8.802, 0.6783047604950763, 0.5600000000000001, 0.1391385351546599, 29.21909238247858, 131, 170, 7.706257219894073e-05, 30, 42
8.840999999999999, 0.6814812597337059, 0.49, 0.06913853515465989, 14.51909238247858, 127, 184, 7.708192056709715e-05, 30, 19
